epoch,accuracy_test_before,accuracy_test_after
0,6.079907353792704,95.6572090330052
1,32.8978622327791,96.87252573238322
2,65.1580459770115,97.73706896551724
3,79.80952380952381,96.44444444444444
4,80.07726269315674,97.51655629139073
5,78.58517805582291,97.25697786333014
6,95.15774027879678,97.79897285399854
7,94.30485762144055,97.8782802903406
8,92.90780141843972,97.87234042553192
9,95.21586931155193,97.66627771295215
10,96.94713328369322,99.2553983618764
11,96.9283276450512,98.46416382252559
12,96.24092268261427,98.29132849209739
13,97.57744241461478,98.96743447180302
14,92.98860648553901,98.07186678352322
15,96.00301659125189,99.01960784313727
16,95.49738219895289,96.96335078534032
17,97.69021739130434,98.91304347826086
18,97.70580296896087,98.582995951417
19,96.88073394495413,99.26605504587155
20,98.51330203442879,99.53051643192488
21,96.22641509433963,98.70283018867924
22,98.41059602649007,99.60264900662251
23,96.9435736677116,98.35423197492163
24,95.39660056657225,99.04390934844193
25,98.03462798315395,98.73654656059897
26,98.08282208588957,99.15644171779141
27,96.94656488549617,99.45474372955289
28,96.30434782608695,97.82608695652173
29,98.50640113798008,98.50640113798008
30,97.38938053097344,99.02654867256638
31,98.97209985315712,99.85315712187959
32,98.64154250657317,99.21121822962313
33,98.45644983461963,98.89746416758544
34,98.2439024390244,99.1219512195122
35,98.08764940239044,98.88446215139443
36,98.0013783597519,99.31082012405238
37,98.44282238442823,99.07542579075425
38,98.25978868862649,99.12989434431324
39,98.02566633761106,99.11154985192498
40,97.54515979620194,98.84205650764243
41,98.63736263736264,99.07692307692308
42,98.72634643377002,99.30858806404657
43,98.69952087611226,99.04175222450377
44,98.49898580121705,98.70182555780933
45,98.41748304446119,99.3594574227581
46,99.11504424778761,99.46902654867257
47,97.91666666666666,99.36342592592592
48,97.7728285077951,98.44097995545657
49,98.753339269813,99.55476402493322
50,97.3630831643002,99.05341446923597
51,98.6948694869487,99.05490549054905
52,98.5773562537048,98.9330171902786
53,98.02052785923753,99.19354838709677
54,98.94806048652202,99.21104536489152
55,99.12408759124088,99.7080291970803
56,98.03108808290155,99.06735751295336
57,98.40862422997947,99.435318275154
58,98.1970379909852,99.03412749517064
59,98.79206212251941,99.137187230371
60,98.79051765844218,99.51620706337687
61,98.89918887601391,99.01506373117034
62,97.89719626168224,98.98753894080997
63,99.04306220095694,99.76076555023924
64,99.09706546275395,99.09706546275395
65,98.75621890547264,99.1542288557214
66,98.83641341546885,99.45242984257358
67,98.62879529872673,99.0205680705191
68,98.92891918208375,99.51314508276533
69,99.06223358908781,99.40323955669224
70,99.30200093066543,99.62773382968822
71,99.54337899543378,99.65753424657534
72,98.78433138226025,99.5047276001801
73,99.08062234794907,99.5049504950495
74,99.19839679358718,99.39879759519037
75,98.68324798829555,99.56108266276517
76,99.1256830601093,99.48998178506375
77,99.03682719546742,99.32011331444758
78,98.3184965380811,99.0108803165183
79,99.02248289345064,99.36461388074291
80,99.08501715592833,99.4281357224552
