epoch,accuracy_test_before,accuracy_test_after
0,6.079907353792704,95.71511291256513
1,33.33333333333333,97.26840855106889
2,67.24137931034483,97.95258620689656
3,80.06349206349206,96.06349206349206
4,85.59602649006622,97.18543046357617
5,80.17324350336862,97.59384023099133
6,93.91049156272928,97.35876742479824
7,97.54327191513121,98.1574539363484
8,93.67612293144208,97.81323877068559
9,97.19953325554259,97.66627771295215
10,98.28741623231572,98.80863737900223
11,97.32650739476678,98.52104664391354
12,97.30884237505339,98.33404527979496
13,98.17315329626688,98.92772041302621
14,91.148115687993,98.42243645924627
15,97.81297134238311,97.5867269984917
16,96.54450261780104,97.59162303664921
17,97.37318840579711,98.6413043478261
18,98.85290148448043,98.71794871794873
19,95.3211009174312,99.22018348623854
20,99.13928012519561,99.21752738654148
21,97.16981132075472,98.87971698113208
22,99.42604856512142,99.38189845474614
23,97.33542319749216,98.43260188087774
24,98.79603399433428,99.07932011331445
25,98.45577912962096,98.31539541413196
26,98.77300613496932,98.84969325153375
27,98.47328244274809,99.23664122137404
28,97.28260869565217,97.28260869565217
29,98.50640113798008,98.36415362731152
30,98.89380530973452,98.93805309734513
31,98.82525697503671,99.70631424375918
32,98.72918492550394,99.16739702015775
33,98.95259095920618,98.78721058434398
34,99.07317073170732,99.07317073170732
35,98.64541832669322,98.80478087649402
36,99.17298414886285,99.1040661612681
37,98.88077858880779,99.02676399026764
38,98.88129272840274,98.88129272840274
39,99.06219151036525,99.06219151036525
40,98.14729041222789,98.84205650764243
41,98.94505494505495,99.20879120879121
42,99.19941775836972,99.12663755458514
43,98.97330595482546,98.83641341546885
44,98.70182555780933,98.62068965517241
45,99.17106254709871,99.13338357196683
46,99.23303834808259,99.35103244837758
47,99.30555555555556,99.47916666666666
48,98.10690423162583,98.55233853006682
49,99.24309884238647,99.28762243989314
50,98.4448951994591,98.91818796484111
51,99.00990099009901,98.96489648964896
52,98.9330171902786,98.9330171902786
53,99.04692082111437,98.90029325513197
54,99.07955292570676,99.14529914529915
55,99.56204379562044,99.48905109489051
56,99.01554404145078,99.11917098445596
57,99.17864476386036,99.02464065708418
58,98.58338699291693,98.84095299420477
59,99.2234685073339,99.2234685073339
60,99.32268988872762,99.37106918238993
61,98.89918887601391,98.78331402085747
62,99.06542056074767,98.98753894080997
63,99.20255183413079,99.28229665071771
64,99.24755455229496,99.32279909706546
65,99.1044776119403,99.05472636815921
66,99.38398357289527,99.31553730321697
67,98.92262487757101,98.87365328109696
68,99.17234664070106,99.22103213242454
69,99.23273657289002,99.14748508098891
70,99.76733364355515,99.30200093066543
71,99.60045662100457,99.60045662100457
72,99.23457901846015,99.32462854570014
73,99.36350777934936,99.29278642149929
74,99.14829659318637,99.24849699398798
75,99.12216532553035,98.97585954645209
76,99.38069216757741,99.34426229508196
77,99.09348441926346,99.15014164305948
78,99.0108803165183,98.81305637982196
79,99.26686217008798,99.31573802541544
80,99.3518871521159,99.31376286694625
81,98.97798742138365,98.97798742138365
82,98.81656804733728,98.91518737672584
83,99.10807974816369,99.10807974816369
84,98.47480106100795,98.54111405835543
85,99.30448222565687,99.38176197836167
86,99.09274193548387,99.09274193548387
87,99.35897435897436,99.31623931623932
88,99.32432432432432,99.22779922779922
89,99.47089947089947,99.32659932659934
90,99.43084803642573,99.08935685828116
91,99.13573970513471,99.28825622775801
92,99.06479625918504,98.9311957247829
93,99.42100909842844,99.25558312655087
94,98.79350348027842,98.88631090487239
95,99.19724770642202,99.13990825688074
96,98.81170018281536,98.81170018281536
97,99.12575655682583,99.26025554808339
98,99.1504854368932,99.1504854368932
99,99.47328818660647,99.39804364183597
100,99.34253780407627,99.27679158448389
101,99.22279792746113,99.09326424870466
102,98.96296296296296,98.96296296296296
103,98.50746268656717,98.41700587969244
104,99.20856610800745,99.20856610800745
105,98.8268156424581,98.8268156424581
106,99.49341438703141,99.49341438703141
107,99.21548117154812,99.32008368200836
108,99.19695688926458,99.2814877430262
109,98.93617021276596,98.8031914893617
110,99.30555555555556,99.30555555555556
111,98.5,98.75
112,99.13294797687861,99.07514450867052
113,99.47054930509597,99.47054930509597
114,99.34131736526946,99.34131736526946
115,99.30675909878683,99.30675909878683
116,98.90681936491411,98.90681936491411
117,98.5576923076923,98.66452991452992
118,99.09297052154194,99.20634920634922
119,99.1869918699187,99.31207004377735
120,99.29245283018868,99.13522012578616
121,99.23940601231438,99.27562477363274
122,98.91411648568608,98.7166831194472
123,98.81967213114754,98.81967213114754
124,99.08151549942595,99.02411021814007
125,98.51203501094092,98.55579868708972
126,98.81284916201118,98.74301675977654
127,99.44623904014766,99.40009229349332
128,99.17050691244239,99.07834101382488
129,99.06073888541015,99.12335629304947
130,99.0,99.16666666666667
131,98.9956057752668,98.80728185812931
132,98.96142433234422,99.0108803165183
133,98.87869520897044,98.82772680937818
134,99.11323328785812,99.11323328785812
135,98.84726224783861,98.9913544668588
136,99.3722839208112,99.32399806856591
137,99.29701230228471,99.38488576449912
138,99.19959979989996,98.99949974987494
139,99.28884026258206,99.34354485776805
140,98.90230515916575,98.90230515916575
141,99.19323857087974,99.19323857087974
142,99.26701570680628,99.26701570680628
143,99.36708860759494,99.24841772151899
144,99.58779884583677,99.50535861500413
145,98.63523573200993,98.63523573200993
146,99.40411700975082,99.40411700975082
147,99.00435594275046,99.06658369632856
148,99.0630855715178,99.12554653341662
149,98.97775105231509,98.97775105231509
150,99.25326695706285,99.19103920348475
151,99.17234664070106,99.1236611489776
152,99.02088772845953,98.9556135770235
153,99.49238578680203,99.44162436548223
154,99.53837276399308,99.53837276399308
155,99.08123791102514,99.27466150870407
156,99.21813917122752,99.21813917122752
157,98.95366218236174,99.00348779272547
158,99.30495221546481,99.21807124239791
159,98.78048780487805,98.89663182346109
160,98.83286647992531,98.83286647992531
161,98.38403041825094,98.28897338403041
162,99.41305942773295,99.48642699926631
163,99.27679158448389,99.27679158448389
164,99.2609437180216,99.3177942012507
165,99.32291666666667,99.375
166,99.28005759539236,99.13606911447084
167,99.26719278466742,99.26719278466742
168,99.23076923076923,99.23076923076923
169,99.41563184806428,99.41563184806428
170,99.10897875257025,99.10897875257025
171,99.33377748167888,99.33377748167888
172,98.89135254988913,98.89135254988913
173,99.25155925155926,99.2931392931393
174,99.33579335793358,99.33579335793358
175,99.10233393177738,99.16217833632555
176,99.13636363636364,99.0909090909091
177,99.03303787268331,99.03303787268331
178,98.66156787762907,98.66156787762907
179,99.10771191841937,99.17144678138942
180,99.2462311557789,99.2462311557789
181,98.91922639362912,98.91922639362912
182,98.22635135135135,98.22635135135135
183,98.65853658536585,98.65853658536585
184,99.30843706777317,99.23928077455048
185,99.29906542056075,99.29906542056075
186,99.2363344051447,99.2363344051447
187,99.03523489932886,98.90939597315436
188,98.38056680161942,98.38056680161942
189,99.03903903903904,99.03903903903904
190,98.60671310956302,98.67004433185559
191,99.13097454996897,99.13097454996897
192,99.27007299270073,99.27007299270073
193,98.68421052631578,98.63721804511279
194,99.35179728933412,99.29286977018268
195,98.32689832689833,98.32689832689833
196,99.30825767401643,99.30825767401643
197,99.03614457831326,99.03614457831326
198,98.89624724061811,98.89624724061811
199,98.93364928909952,98.93364928909952
