epoch,accuracy_test_before,accuracy_test_after
0,10.388836625901536,92.80652242082157
1,58.56275396064466,93.16988540382596
2,63.27322444756484,94.78604685536915
3,53.81809095452274,94.30284857571213
4,74.53879366740809,94.17767892188931
5,71.08831623717788,94.32574430823118
6,62.52855630467488,94.51161754053602
7,79.11171179568439,94.70102996691057
8,74.70423275786521,92.33196038909823
9,75.17812343201204,93.7180130456598
10,78.02435926174998,94.60883210042591
11,82.38344683080146,95.13357778941854
12,83.92911010558069,94.8001508295626
13,88.10424726839845,95.56991624505761
14,75.76444567320985,95.44373790434061
15,84.29286211919691,94.55316992843119
16,79.6832409061002,93.42983363098035
17,87.01195535607896,95.74611748818366
18,86.40807821766309,94.59315061174334
19,86.18842500552242,95.43295780870334
20,87.95311606632362,95.53459119496856
21,87.01176810338603,96.12302360840373
22,84.32025846837297,95.41117673784643
23,86.72749099639856,94.92436974789916
24,89.93015998811234,95.1706374758532
25,86.8098878934284,94.29147708616726
26,86.25609535849739,94.66618505809403
27,85.933798145265,92.98043728423475
28,87.71394678867989,93.34576060554708
29,86.59820683903253,93.56234361968306
30,82.30661212528237,95.39043897673851
31,86.89170751427561,94.8607812421042
32,90.64814427381899,96.61073685091426
33,87.68065772392903,95.7853742968412
34,81.75671522527507,91.25330382936873
35,86.76571821936669,94.30357962368059
36,87.35923423423422,95.69960585585585
37,88.7648100231513,95.07467429297743
38,86.43419969422557,96.51887569093262
39,89.6914446002805,95.31907433380084
40,84.25518736450913,94.49984515329824
41,90.84974258266546,96.019319569025
42,86.80341880341881,94.85470085470085
43,89.29346753503059,95.51509769094139
44,90.24995155977523,96.20616159658981
45,86.37045585689556,93.96999422965955
46,88.35049874300543,95.62079312302328
47,89.57295127353267,95.91292912513842
48,89.75659229208925,94.62880324543612
49,86.36422609522985,95.90883535873373
50,87.0353581142339,93.18336355394379
51,90.19070855947817,95.747647263855
52,89.94853481777125,95.18958092637328
53,87.2734950859951,95.3585687960688
54,90.99871959026888,95.38625693555272
55,84.3484965304549,93.78373168851195
56,87.73637374860957,94.48275862068965
57,87.03853576542365,94.70833592728631
58,89.04243501444124,95.7253943568096
59,80.24946759963493,93.83024034073624
60,88.46969573374663,95.83979117383147
61,89.25909688733012,96.21023917385162
62,88.33530705464389,96.15547284723397
63,90.38137969713965,95.42504607002644
64,91.46210080800307,95.75221238938053
65,85.41443322236641,95.60458161710771
