epoch,accuracy_test_before,accuracy_test_after
0,10.480167014613778,58.28810020876827
1,39.62536023054755,70.268972142171
2,61.050201961915754,73.22562031159838
3,71.45718577866799,76.56484727090636
4,81.10949963741841,82.23350253807106
5,81.22578372666432,85.45262416343783
6,81.47977941176471,85.66176470588235
7,85.61584840654608,85.31438415159346
8,85.66084788029926,88.32086450540316
9,87.15927750410509,86.14121510673235
10,84.08671586715867,86.94649446494465
11,86.85990338164251,86.08695652173914
12,88.31120943952803,87.86873156342183
13,87.83289817232375,87.62402088772846
14,87.72466539196941,88.22179732313575
15,89.29590865842056,89.96194100856327
16,89.01975683890578,88.06990881458967
17,86.32345293811753,87.98751950078002
18,88.61818181818182,87.41818181818182
19,88.70908422214049,88.01029790364105
20,88.02540066525552,88.66041729664347
21,88.86986301369863,88.57020547945206
22,89.50759318913943,88.8633225954901
23,90.27263547627061,89.66677886233592
24,88.15331010452961,87.55599800895968
25,89.32261768082664,88.40413318025259
26,89.52991452991454,90.66951566951566
27,89.85507246376811,89.28950159066808
28,91.32329635499208,90.37242472266243
29,90.34364261168385,89.89690721649485
30,89.88669744020143,88.62778010910617
31,88.57731958762886,88.0
32,89.18046023415422,88.00968914008882
33,91.52744630071598,90.05568814638028
34,89.7737556561086,88.86877828054298
35,91.54655239579276,90.61160888196338
36,91.54874213836479,90.72327044025157
37,89.82985305491106,89.28847641144625
38,90.63802500801539,90.06091696056428
39,90.88937093275487,89.98553868402026
40,90.37787300350604,89.83248928710556
41,91.28463476070529,90.5793450881612
42,88.60595597755719,87.95856711264565
43,90.45,88.9
44,89.92744344857022,88.94579598804951
45,90.96153846153847,90.65384615384615
46,90.97279472382522,90.89035449299257
47,90.62372604973503,90.21606196494089
48,90.86632693061544,90.16072128577028
49,89.63815789473685,88.19901315789474
50,91.92003331945024,90.79550187421907
51,91.46469968387777,90.72708113804005
52,91.96891191709845,91.64507772020725
53,91.4412745461282,91.14486846980363
54,90.6559877955759,90.77040427154843
55,90.16935150764147,89.71499380421314
56,92.67036450079239,91.36291600633915
57,91.62916291629163,91.40414041404141
58,91.26984126984127,90.1002506265664
59,90.10570824524314,89.76744186046511
60,89.69995521719659,89.25212718316166
61,91.39966273187183,90.17706576728499
62,90.67333939945405,90.5368516833485
63,90.69767441860465,89.89084005695301
64,91.25,90.82142857142857
65,90.04487964096288,89.96328029375765
66,90.625,90.58641975308642
67,89.09012505390254,88.14144027598103
68,91.19003690036901,90.22140221402213
69,92.26921327876308,91.81446111869032
70,90.48387096774194,89.0725806451613
71,91.0042525351652,90.97154072620216
72,89.58630527817404,90.01426533523538
73,90.6820723071189,90.16026835631756
74,89.46248004257585,89.30282064928153
75,90.64577397910732,90.12345679012346
76,91.36630343671416,90.52808046940486
77,91.17647058823529,90.36658141517476
78,91.76816463670725,91.51616967660647
79,90.85693797059878,90.10397992111868
80,90.0045850527281,89.68363136176066
81,90.625,90.36458333333334
82,91.7596566523605,91.38769670958511
83,89.53068592057761,88.71841155234657
84,90.42892591279687,90.99610067352003
85,91.566655854687,91.43691209860525
86,91.10483586304271,90.99894105188847
87,89.48717948717949,89.05982905982906
88,91.80327868852459,91.22729286663713
89,89.02087832973362,88.94888408927287
90,90.96361455417833,90.36385445821671
91,91.20111731843575,91.0963687150838
92,90.9090909090909,90.60461070030448
93,91.35405501964988,90.9967845659164
94,90.58355437665783,90.0972590627763
95,90.896407394489,90.58249040809208
96,90.58481957693903,90.08710078805476
97,89.97442455242967,89.71867007672635
98,90.64386317907444,90.14084507042254
99,90.54269752593775,89.86432561851556
100,89.30678466076697,88.49557522123894
101,90.88191330343797,90.32137518684604
102,90.60913705583756,90.60913705583756
103,89.46378174976482,89.2285983066792
104,89.55020445252157,89.36846887778283
105,89.39842209072978,89.1025641025641
106,90.9822184589331,90.9398814563929
107,89.93618065783015,89.5925380461463
108,91.04343931930138,90.50604567845947
109,91.00925517849274,90.65667695019832
110,89.7723292469352,89.73730297723293
111,90.59063136456211,90.9979633401222
112,91.11292295148797,90.78679168365267
113,90.45368620037807,89.93383742911153
114,89.36793637505232,89.70280452071997
115,89.38313050776333,89.17331095258078
116,89.81324278438031,89.9830220713073
117,90.45561665357424,90.21995286724274
118,90.97075031793132,90.58923272573124
119,91.29654553611485,91.25168236877523
120,89.14851485148515,89.06930693069307
121,90.4452690166976,90.25974025974025
122,92.0814479638009,91.94570135746606
123,90.51943334544134,90.59208136578279
124,90.2520385470719,89.88139362490733
125,88.63168724279835,88.9917695473251
126,91.06901217861976,91.10284167794318
127,89.43186332936035,89.59078267779103
128,90.20256304257957,90.32658123191402
129,90.16949152542372,89.60451977401131
130,90.93959731543623,91.38702460850112
131,90.62758051197358,90.83402146985962
132,90.49748462828396,90.55338177752935
133,89.4256371243819,89.3495625713199
134,90.0852052672347,89.81409759876065
135,91.1364633611233,90.87318999561211
136,89.8759305210918,89.8759305210918
137,90.61795218764097,90.43752819124944
138,89.79680069174233,89.62386511024644
139,90.81844619858745,90.52762775238887
140,90.51565377532228,90.51565377532228
141,89.19202518363065,88.82476390346274
142,91.17647058823529,91.20743034055727
143,90.05328596802842,89.92007104795738
144,90.33078880407125,90.33078880407125
145,90.76867816091954,90.87643678160919
146,92.0,91.86206896551724
147,91.1297572670063,91.18969133952652
148,91.14365411436542,91.17852161785216
149,90.78156312625251,90.86172344689378
150,90.44356292823656,90.22719076812116
151,90.83715118700542,90.87880049979175
152,90.98474341192788,90.93851132686083
153,90.41149068322981,90.17857142857143
154,91.54308617234469,91.4629258517034
155,89.24825174825175,89.5541958041958
156,90.60081091043126,90.56395134537412
157,89.70073843762145,89.50641274776525
158,90.2427851580394,90.01374255611545
159,91.02167182662538,91.06037151702786
160,90.4232578024797,90.7225309961522
161,91.79528838342812,91.87652315190901
162,92.5397877984085,92.57294429708223
163,90.77274209325074,90.51190088033908
164,89.44252590034534,89.29452392698569
165,89.97236478484011,90.01184366363995
166,90.10060362173039,90.06036217303823
167,89.76621085134539,89.63387737097486
168,88.61904761904762,88.52380952380953
169,90.65300896286811,90.82373026034998
170,90.57527539779682,90.53447572419421
171,89.94132439228835,89.8994132439229
172,89.41034897713598,89.12956277577216
173,90.5428473881871,90.71355411403209
174,90.11933174224343,89.88066825775657
175,90.0909090909091,90.0
176,90.83567415730337,90.66011235955057
177,91.19521912350598,90.99601593625498
178,90.66666666666666,90.625
179,90.38022813688214,90.45627376425855
180,90.80459770114942,90.80459770114942
181,91.33537206931702,91.50526673462454
182,90.13409961685824,89.84674329501917
183,90.17777777777778,89.95555555555555
184,89.26034266610948,89.38570831592145
185,89.79427188382412,89.71359419120614
186,89.648033126294,89.4824016563147
187,91.26417471650568,91.34817303653927
188,90.87987143431097,90.75934110084371
189,89.74236641221374,89.59923664122137
190,91.0958904109589,91.16438356164383
191,89.76833976833977,90.05791505791507
192,91.39834406623734,91.39834406623734
193,90.2218879277924,90.1466716810831
194,89.66355897851642,89.58248885285772
195,91.32834055971621,91.24950729207725
196,89.7484756097561,89.78658536585365
197,90.2353966870096,90.19180470793374
198,90.32897344431233,90.32897344431233
199,89.59020254357041,89.54309938765897
200,89.89775051124744,89.89775051124744
201,91.02357119793348,91.08814982240878
202,90.56603773584906,90.80793420416062
203,90.13220018885741,89.99055712936733
204,89.93684210526315,89.93684210526315
205,89.39958592132506,89.3167701863354
206,91.44345238095238,91.36904761904762
207,88.04691023906179,88.09201623815967
208,92.06762028608583,92.11096662332034
209,90.49282110981763,90.6092355452076
210,90.6444226365718,90.80798168138699
211,89.84815618221258,89.84815618221258
212,92.00187090739009,92.00187090739009
213,91.51670951156812,91.4738646101114
214,90.868366643694,90.868366643694
215,89.48422633950926,89.43415122684027
216,90.99437148217636,91.04127579737336
217,89.47368421052632,89.51682484900778
218,90.01751313485113,89.95913601868068
219,90.70390206579954,90.70390206579954
220,90.9920634920635,90.95238095238095
221,90.7942238267148,90.70397111913357
222,89.09242298084929,89.17568692756038
223,90.70524412296564,90.56057866184449
224,90.34642032332563,90.2540415704388
225,89.92443324937027,89.84047019311502
226,90.3448275862069,90.26819923371647
227,90.31620553359684,90.27667984189723
228,91.36029411764706,91.43382352941177
229,90.06541291905151,90.02452984464432
230,88.63716814159292,88.63716814159292
231,90.83995852056688,90.80539232630488
232,89.26961226330027,89.26961226330027
233,90.7868722815342,90.70778964017398
234,90.80610021786492,90.84967320261438
235,90.97040089921319,91.0828025477707
236,91.11718483088487,91.0830201571575
237,91.05191256830601,91.01775956284153
238,90.3387703889586,90.17147636971978
239,90.83575346886093,90.80348499515974
240,89.72484952708513,89.68185726569217
241,91.57088122605363,91.73508483853311
242,87.92434529582928,87.82735208535402
243,90.3237811685895,90.3237811685895
244,90.96907216494844,90.88659793814433
245,90.73825503355705,90.57046979865771
246,89.85614164514939,89.85614164514939
247,91.67575427117411,91.67575427117411
248,90.11170872983037,90.11170872983037
249,89.36631944444444,89.49652777777779
250,91.02835378755819,91.07067287346592
251,89.50086058519794,89.328743545611
252,90.12038190120381,90.20340390203404
253,90.31571479247961,90.31571479247961
254,89.13480885311871,89.08450704225352
255,91.44759901857694,91.41254819488258
256,90.06493506493507,90.12987012987013
257,90.00274649821478,90.0576764625103
258,90.26328862394436,90.31296572280179
259,90.41032733978793,90.5025357307515
260,90.53301511535402,90.5727923627685
261,91.2751677852349,91.34973900074571
262,91.10054347826086,91.13451086956522
263,91.22350316102641,91.22350316102641
264,90.6891495601173,90.6891495601173
265,90.50980392156863,90.47058823529412
266,89.98646820027064,89.851150202977
267,90.39792387543253,90.39792387543253
268,88.72448979591837,88.72448979591837
269,89.9876390605686,90.02884219200659
270,89.96901626646012,90.00774593338498
271,89.49399656946827,89.5368782161235
272,91.22073578595318,91.30434782608695
273,89.64705882352942,89.74117647058823
274,91.20280264694433,91.24172829894901
275,89.60831334932054,89.64828137490008
276,90.01014198782961,89.95943204868155
277,90.60008392782207,90.55812001678557
278,90.1511879049676,90.23758099352051
279,91.11369809856423,91.19130772215755
280,89.92744344857022,90.01280409731113
281,89.3646408839779,89.3646408839779
282,91.4983164983165,91.58249158249158
283,90.12727898176814,90.16167870657034
284,90.74221867517956,90.8220271348763
285,91.28919860627178,91.384225530567
286,90.34045922406968,90.34045922406968
287,90.91463414634147,90.97560975609757
288,90.1948051948052,90.12987012987013
289,90.33596018249689,90.29448361675654
290,90.69512862616311,90.80459770114942
291,90.04716981132076,90.09433962264151
292,90.61682242990653,90.72897196261682
293,91.01269944643438,90.98013676326929
294,90.62381852551985,90.7750472589792
295,90.60336300692384,90.63633366303989
296,90.74960127591707,90.78947368421053
297,90.93605800922873,90.87013843111404
298,89.19459729864933,89.29464732366183
299,90.86614173228347,90.8267716535433
300,89.9759697905939,90.01029866117405
301,88.96752706078269,88.96752706078269
302,89.99192897497981,90.0322841000807
303,90.55415617128463,90.58564231738035
304,89.50252951096121,89.41821247892075
305,91.2400455062571,91.20212362533182
306,90.38831218762014,90.34986543637062
307,89.78300180831826,89.73779385171791
308,90.30135088326983,90.30135088326983
309,91.2447658926532,91.28283212790255
310,90.07506255212677,90.07506255212677
311,91.27829560585884,91.3115845539281
312,90.09054325955734,90.14084507042254
313,89.90862137465237,89.9880810488677
314,89.80704697986577,89.76510067114094
315,89.4576012223071,89.41940412528649
316,89.08739739256399,89.08739739256399
317,90.27777777777779,90.31746031746032
318,89.52590959206174,89.41565600882029
