epoch,accuracy_test_before,accuracy_test_after
0,27.209154481881754,89.446916719644
1,51.45429362880887,91.68975069252078
2,72.91807718348002,96.6824644549763
3,64.2407277816655,95.3813855843247
4,53.21143928738865,93.62400375058603
5,61.54992548435171,96.49776453055141
6,53.34215751158173,93.18332230311053
7,78.33026396562308,94.7206875383671
8,51.1090991398823,97.51018560434585
9,90.36624203821655,95.93949044585987
10,76.51296829971182,95.46109510086455
11,81.91039729501269,96.44970414201184
12,84.70458310325787,97.68083931529542
13,91.5084915084915,93.5064935064935
14,85.17555266579974,92.45773732119635
15,59.151361621279285,93.79354021532616
16,86.12546125461255,94.53874538745387
17,79.60000000000001,96.75
18,94.29394812680115,97.69452449567724
19,70.72029934518241,95.1356407857811
20,89.09682668836453,96.9894222945484
21,91.37336093857833,96.75638371290545
22,94.63470319634703,96.46118721461188
23,91.96386115073705,96.1959106038992
24,96.13466334164589,97.06982543640898
25,92.33933161953728,96.76092544987146
26,94.07075236671649,95.3662182361734
27,93.60498019241652,96.09507640067912
28,93.08909242298084,95.67027477102414
29,93.80888290713324,95.02018842530283
30,94.0,94.95
31,96.02763385146805,97.84110535405873
32,85.58432470258921,96.78096571028692
33,95.05494505494505,95.87912087912088
34,97.71351714862139,97.44451916610626
35,96.16236162361623,95.71955719557195
36,96.4414646725116,97.62764311500773
37,97.60159893404398,98.13457694870087
38,96.79767103347889,96.26394953905871
39,95.18265756724207,96.14612605379365
40,96.83333333333334,97.16666666666667
41,93.76208897485493,94.39071566731141
42,96.13022113022113,95.94594594594594
43,96.21621621621622,96.86486486486487
44,93.80097879282219,94.72539423599783
45,97.34177215189874,97.46835443037975
46,95.08196721311475,96.22950819672131
47,97.10526315789474,96.90789473684211
48,96.81233933161954,96.55526992287918
49,96.91119691119691,97.06563706563706
50,96.72675521821633,97.34345351043643
51,94.1201353637902,95.30456852791879
52,94.18079096045197,96.38418079096044
53,95.71511291256513,96.81528662420382
54,96.98447893569845,97.25055432372505
55,96.13869188337274,96.2174940898345
56,96.60377358490567,96.60377358490567
57,96.93106704438149,97.40321057601511
58,95.4005934718101,95.99406528189911
59,96.07187630589219,96.57333890513999
60,97.3076923076923,97.3076923076923
61,96.8840579710145,97.31884057971014
