epoch,accuracy_test_before,accuracy_test_after
0,17.25663716814159,68.3944374209861
1,7.967667436489608,63.683602771362594
2,30.564784053156146,70.7641196013289
3,12.5,62.23849372384937
4,36.35307781649245,74.56445993031359
5,9.482758620689655,75.86206896551724
6,17.905102954341988,63.47358997314234
7,41.68074324324324,67.01858108108108
8,18.6046511627907,60.18604651162791
9,44.59102902374671,64.31398416886543
10,37.3134328358209,72.05352547606793
11,51.31938125568699,75.61419472247498
12,42.92929292929293,78.4090909090909
13,60.42128603104213,73.17073170731707
14,45.682730923694784,60.893574297188756
15,25.676855895196503,59.301310043668124
16,77.30496453900709,78.61429350791053
17,55.38461538461539,73.7556561085973
18,53.70370370370371,56.33213859020311
19,54.082840236686394,61.59763313609468
20,61.856368563685635,70.9349593495935
21,49.25847457627119,68.53813559322035
22,69.62406015037594,69.62406015037594
23,54.67404674046741,66.35916359163592
24,69.01254773595198,69.01254773595198
25,63.20564516129033,61.99596774193549
26,80.7766990291262,84.02912621359224
27,67.64886433394722,69.18354818907305
28,87.92349726775956,87.92349726775956
29,60.83172147001934,70.11605415860735
30,59.3320235756385,61.738703339882115
31,75.20035618878005,75.20035618878005
32,42.50493096646943,54.043392504930964
33,78.07357212003872,79.96127783155856
34,70.37037037037037,69.66230936819173
35,65.63380281690141,65.63380281690141
36,61.784897025171624,59.57284515636918
37,78.81165919282512,78.81165919282512
38,77.34513274336283,77.34513274336283
39,57.91139240506329,57.08860759493671
40,42.369991474850806,64.10912190963342
41,57.89883268482491,56.731517509727624
42,67.95539033457248,67.5092936802974
43,60.86956521739131,61.709486166007906
44,73.11320754716981,74.88207547169812
45,62.063845582776544,64.3652561247216
46,59.11330049261084,59.11330049261084
47,71.90697674418604,71.90697674418604
48,70.18284106891703,70.042194092827
49,69.46688206785137,73.66720516962843
50,70.84493964716806,70.84493964716806
51,81.26626192541197,81.26626192541197
52,78.00925925925925,80.0925925925926
53,61.08108108108108,61.72972972972973
54,58.86524822695035,58.86524822695035
55,59.523809523809526,63.75661375661375
56,88.33746898263027,88.33746898263027
57,58.32681782642689,58.32681782642689
58,77.64253683536195,77.64253683536195
59,51.56634987680394,52.58711721224921
60,73.50565428109854,73.50565428109854
61,83.14310798946444,81.56277436347673
62,66.52014652014651,66.52014652014651
63,64.52131938857603,64.03861625100564
64,57.78947368421052,58.8421052631579
65,72.23076923076923,70.92307692307692
66,61.98347107438017,61.98347107438017
67,49.84,49.84
68,68.19610307982401,68.19610307982401
69,78.34836918806386,78.34836918806386
70,52.4733268671193,55.674102812803106
71,72.60748959778086,72.60748959778086
72,81.18279569892472,81.18279569892472
73,67.72291820191599,65.88061901252763
74,53.216911764705884,53.86029411764706
75,71.84071515644047,71.84071515644047
76,65.98114824335904,63.49614395886889
77,53.693407466243045,53.693407466243045
78,82.20491312162972,80.76692630317555
79,66.79045092838196,66.79045092838196
80,76.52173913043478,76.19565217391305
81,61.52897657213317,64.61159062885326
82,57.87106446776612,57.87106446776612
83,73.03290414878397,73.03290414878397
84,68.76574307304786,68.76574307304786
85,59.0146750524109,59.0146750524109
86,60.97424412094065,60.41433370660694
87,76.41895845523699,76.59449970743125
88,51.09546165884195,51.09546165884195
89,66.49484536082474,68.35051546391753
90,57.70700636942675,61.01910828025478
91,62.55077173030057,62.55077173030057
92,72.62313860252004,73.31042382588774
93,70.11349306431273,70.11349306431273
94,61.71303074670571,61.71303074670571
95,71.82685253118122,71.60674981658107
96,61.82152713891445,61.82152713891445
97,76.03591160220995,75.62154696132598
98,54.350051177072665,56.49948822927329
99,63.503649635036496,63.017031630170315
100,52.77777777777778,52.77777777777778
101,76.93394560226069,76.93394560226069
102,72.15631542219121,72.15631542219121
103,67.60987357013846,65.8037326911499
104,66.53449643140364,64.55194290245836
105,65.9877800407332,65.9877800407332
106,47.44779582366589,46.635730858468676
107,53.264604810996566,53.264604810996566
108,56.336405529953915,58.122119815668206
109,66.02086438152011,66.02086438152011
110,57.99999999999999,57.99999999999999
111,58.853410740203195,58.853410740203195
112,63.714902807775374,63.282937365010795
113,60.582822085889575,64.57055214723927
114,55.18274415817855,55.18274415817855
115,59.582198001816536,55.04087193460491
116,61.99261992619927,61.99261992619927
117,76.73935617860852,76.73935617860852
118,81.04838709677419,81.04838709677419
119,73.45132743362832,74.20013614703879
120,45.646916565900845,46.130592503022974
121,71.3971397139714,71.3971397139714
122,67.38782051282051,65.94551282051282
123,72.40333586050039,72.17589082638362
124,69.15789473684211,70.47368421052632
125,79.93966817496229,79.93966817496229
126,76.28424657534246,76.28424657534246
127,60.64425770308123,58.123249299719895
128,60.21634615384615,59.53525641025641
129,67.16577540106951,67.16577540106951
130,60.52445074415308,63.5719347980156
131,71.26948775055679,72.60579064587974
132,59.2446448703495,59.582863585118375
133,56.60051768766178,53.92579810181191
134,70.83333333333334,70.83333333333334
135,61.12676056338028,60.4225352112676
136,59.14664051005395,57.528200098087304
137,66.0952380952381,65.39682539682539
138,70.92833876221498,70.92833876221498
139,75.91991341991343,75.91991341991343
140,73.54024197790636,73.54024197790636
141,68.20161792159303,68.57498444306161
142,68.62640299305185,66.75574559059326
143,67.24409448818898,69.08136482939634
144,64.55160744500846,64.55160744500846
145,77.81765972720747,77.81765972720747
146,71.48659626320065,71.81153533712428
147,72.35915492957746,72.35915492957746
148,68.13811188811188,68.13811188811188
149,70.05988023952095,70.05988023952095
150,59.133633020024526,59.133633020024526
151,66.4553618594823,66.4553618594823
152,71.06625258799171,71.37681159420289
153,61.965039180229056,63.47197106690777
