epoch,accuracy_test_before,accuracy_test_after
0,0.8849557522123894,65.2338811630847
1,15.588914549653579,64.14549653579677
2,30.398671096345513,73.58803986710963
3,12.395397489539748,63.54602510460251
4,55.36198219125048,74.56445993031359
5,17.049808429118773,75.86206896551724
6,16.92032229185318,62.48880931065354
7,68.24324324324324,70.22804054054053
8,22.790697674418606,56.93023255813954
9,49.67018469656992,61.21372031662269
10,32.01235203293876,71.23005661348431
11,58.962693357597814,75.61419472247498
12,59.46969696969697,78.4090909090909
13,60.19955654101996,73.17073170731707
14,43.62449799196787,60.24096385542169
15,23.75545851528384,60.17467248908297
16,78.23240589198036,78.23240589198036
17,55.56561085972851,73.7556561085973
18,53.464755077658296,56.33213859020311
19,57.573964497041416,61.59763313609468
20,64.43089430894308,69.37669376693766
21,43.00847457627119,65.78389830508475
22,69.62406015037594,69.62406015037594
23,59.90159901599016,66.35916359163592
24,69.17621385706492,69.17621385706492
25,61.391129032258064,64.91935483870968
26,79.90291262135922,84.90291262135923
27,68.38551258440762,69.18354818907305
28,87.92349726775956,87.92349726775956
29,66.15087040618955,70.11605415860735
30,60.90373280943025,60.90373280943025
31,74.57702582368655,75.20035618878005
32,33.72781065088758,53.35305719921104
33,79.96127783155856,79.96127783155856
34,70.37037037037037,70.37037037037037
35,64.69483568075117,65.63380281690141
36,61.784897025171624,61.784897025171624
37,78.81165919282512,78.81165919282512
38,77.34513274336283,76.90265486725664
39,59.30379746835443,60.379746835443036
40,42.369991474850806,64.10912190963342
41,57.04280155642023,56.731517509727624
42,67.95539033457248,67.5092936802974
43,61.709486166007906,61.709486166007906
44,73.93867924528303,73.11320754716981
45,64.3652561247216,64.3652561247216
46,59.11330049261084,54.310344827586206
47,71.90697674418604,71.34883720930233
48,70.042194092827,70.042194092827
49,73.66720516962843,73.42487883683361
50,70.84493964716806,70.84493964716806
51,81.00607111882047,81.26626192541197
52,80.0925925925926,80.0925925925926
53,61.08108108108108,60.75675675675676
54,54.25531914893617,52.71867612293144
55,63.75661375661375,63.75661375661375
56,88.33746898263027,88.33746898263027
57,57.54495699765442,58.639562157935885
58,78.73158231902626,77.64253683536195
59,50.75677578317494,52.58711721224921
60,73.50565428109854,73.50565428109854
61,83.14310798946444,81.56277436347673
62,66.52014652014651,66.52014652014651
63,64.03861625100564,64.52131938857603
64,58.42105263157895,58.42105263157895
65,71.23076923076923,72.23076923076923
66,61.98347107438017,59.825528007346186
67,51.2,49.84
68,67.75612822124451,67.75612822124451
69,78.34836918806386,78.00138792505204
70,53.9282250242483,55.674102812803106
71,72.60748959778086,72.60748959778086
72,81.18279569892472,81.18279569892472
73,67.35445836403832,64.55416359616801
74,52.84926470588235,52.84926470588235
75,71.5969118244616,71.84071515644047
76,65.98114824335904,62.382176520994
77,53.693407466243045,53.693407466243045
78,82.20491312162972,81.24625524266027
79,64.50928381962865,64.93368700265252
80,76.52173913043478,76.52173913043478
81,64.61159062885326,64.61159062885326
82,54.49775112443778,57.12143928035982
83,67.38197424892704,73.03290414878397
84,64.06381192275398,68.76574307304786
85,59.0146750524109,59.0146750524109
86,60.41433370660694,60.97424412094065
87,76.59449970743125,76.41895845523699
88,52.50391236306729,54.77308294209703
89,68.35051546391753,68.35051546391753
90,61.01910828025478,61.01910828025478
91,62.55077173030057,59.70755483346872
92,72.62313860252004,73.31042382588774
93,70.11349306431273,70.11349306431273
94,61.71303074670571,61.71303074670571
95,70.87307410124724,71.82685253118122
96,61.82152713891445,60.34958601655934
97,76.03591160220995,76.79558011049724
98,58.341862845445235,57.31832139201638
99,63.503649635036496,63.503649635036496
100,53.49794238683128,51.74897119341564
101,76.93394560226069,76.93394560226069
102,72.15631542219121,72.15631542219121
103,65.8639373871162,67.60987357013846
104,66.53449643140364,64.55194290245836
105,65.9877800407332,65.9877800407332
106,49.303944315545245,51.27610208816705
107,55.21191294387171,50.97365406643757
108,56.163594470046085,56.50921658986176
109,65.02732240437157,66.02086438152011
110,57.99999999999999,59.03030303030303
111,61.24818577648766,61.24818577648766
112,63.282937365010795,63.282937365010795
113,64.57055214723927,64.57055214723927
114,56.20131815458358,55.18274415817855
115,58.03814713896458,58.03814713896458
116,61.77121771217712,61.99261992619927
117,76.73935617860852,76.73935617860852
118,81.04838709677419,81.04838709677419
119,73.45132743362832,73.72362151123212
120,47.64207980652962,47.64207980652962
121,71.3971397139714,71.3971397139714
122,67.38782051282051,64.50320512820514
123,72.40333586050039,72.40333586050039
124,70.47368421052632,69.15789473684211
125,79.93966817496229,79.93966817496229
126,76.28424657534246,76.28424657534246
127,58.123249299719895,60.64425770308123
128,59.53525641025641,60.21634615384615
129,65.29411764705883,67.16577540106951
130,62.863217576187104,63.5719347980156
131,72.60579064587974,72.60579064587974
132,61.89402480270575,59.2446448703495
133,51.33735979292493,56.60051768766178
134,70.83333333333334,70.83333333333334
135,59.57746478873239,55.91549295774648
136,59.14664051005395,57.528200098087304
137,62.73015873015873,65.65079365079364
138,70.92833876221498,70.92833876221498
139,75.91991341991343,75.91991341991343
140,73.54024197790636,73.54024197790636
141,68.57498444306161,68.20161792159303
142,68.62640299305185,68.62640299305185
143,69.08136482939634,66.61417322834644
144,60.06768189509306,60.575296108291035
145,78.10480976310123,77.81765972720747
146,71.48659626320065,72.38017871649066
147,73.82629107981221,73.82629107981221
148,68.13811188811188,68.13811188811188
149,70.05988023952095,70.05988023952095
150,56.31385369840621,59.133633020024526
151,68.30427892234549,67.77601690438458
152,71.06625258799171,71.06625258799171
153,63.47197106690777,63.47197106690777
154,78.1582054309327,78.1582054309327
155,66.11950098489822,66.11950098489822
156,72.03147353361946,72.03147353361946
157,63.86066763425254,63.86066763425254
158,65.50976138828634,65.50976138828634
159,73.16332726168791,73.16332726168791
160,80.86124401913875,80.86124401913875
161,85.61596696490021,85.61596696490021
162,65.31078610603291,63.71115173674588
163,67.71653543307087,69.23884514435696
164,46.9068660774983,49.150237933378655
165,66.71214188267395,68.34924965893589
166,61.4168247944339,61.4168247944339
167,68.54256854256853,68.32611832611832
168,65.51724137931035,65.51724137931035
169,57.06860706860707,57.22453222453222
170,77.66355140186916,77.66355140186916
171,61.2841399137518,61.2841399137518
172,64.64903357070193,64.64903357070193
173,60.50175029171528,57.11785297549592
174,73.64450730787364,73.64450730787364
175,68.46846846846847,68.3933933933934
176,85.72752548656163,85.72752548656163
177,63.35616438356164,63.35616438356164
178,70.05856515373353,70.05856515373353
179,53.952569169960476,55.59947299077734
180,71.42857142857143,71.42857142857143
181,66.13729508196722,63.729508196721305
182,60.49792531120332,60.0
183,67.5549633577615,67.5549633577615
184,55.92048401037165,59.98271391529818
185,65.76787807737398,65.76787807737398
186,61.8753219989696,63.57547655847501
187,65.73519627411844,65.73519627411844
188,73.65967365967366,71.7948717948718
189,79.96742671009773,79.96742671009773
190,59.76267529665588,59.76267529665588
191,67.10642040457344,67.10642040457344
192,66.13861386138615,66.13861386138615
193,56.173913043478265,56.173913043478265
194,66.11030478955007,65.89259796806967
195,63.29113924050633,63.29113924050633
196,76.36842105263158,76.36842105263158
197,73.94540942928039,74.37965260545906
198,70.85038653933606,70.85038653933606
199,62.59228876127973,62.59228876127973
200,63.12154696132597,61.60220994475139
201,70.81911262798634,70.76222980659841
202,60.40114613180516,62.29226361031519
203,50.205338809034906,49.48665297741273
204,56.00000000000001,56.00000000000001
205,63.90728476821192,63.90728476821192
206,68.05787423483584,68.05787423483584
207,57.17375630857967,57.17375630857967
208,65.90038314176245,66.44772851669404
209,60.03363228699552,60.03363228699552
210,70.4177897574124,70.4177897574124
211,70.52797478329393,71.94641449960599
212,59.773584905660385,58.41509433962264
213,61.31563065781533,61.07423053711527
214,59.412955465587046,59.412955465587046
215,66.15384615384615,65.87412587412588
216,65.21264994547438,66.41221374045801
217,72.65037593984962,72.65037593984962
218,59.962168978562424,57.5031525851198
219,57.676685621445976,57.676685621445976
220,65.334717176959,63.51842241826674
