epoch,accuracy_test_before,accuracy_test_after
0,9.269356597600872,89.1494002181025
1,77.720207253886,92.87564766839378
2,90.37854889589906,92.74447949526814
3,91.54388212684177,94.42664958360025
4,92.19486642221058,94.49973808276584
5,92.99363057324841,95.60509554140127
6,93.73297002724796,95.91280653950953
7,94.44803098773403,95.61007101355713
8,94.87731381833837,96.55617735686613
9,95.38372763993075,96.19157530294288
10,93.99524375743162,95.48156956004756
11,95.39641943734016,96.67519181585678
12,95.06578947368422,95.99780701754386
13,95.33011272141707,95.59849704777241
14,94.12107101280559,96.04190919674039
15,95.27078565980169,96.03356216628528
16,96.8278731149246,96.8278731149246
17,94.42525900345338,95.51060680809077
18,95.02314814814815,95.3125
19,94.64831804281346,95.92252803261978
20,97.01897018970189,97.5609756097561
21,95.70389953734303,95.63780568407138
22,96.66070363744782,97.31663685152057
23,95.96163553760726,96.113074204947
24,96.81731381285805,96.94462126034374
25,95.94257178526841,95.88014981273409
26,96.1618981158409,96.09211444521982
27,96.21468926553672,96.32768361581921
28,96.77891654465594,96.77891654465594
29,95.45454545454545,95.94405594405593
30,96.0923623445826,96.03315571343991
31,97.14912280701753,96.98464912280701
32,96.09460946094609,95.76457645764577
33,95.74229691876751,96.47058823529412
34,96.7397747480735,96.9768820391227
35,96.31696428571429,96.59598214285714
36,96.61691542288557,96.86567164179104
37,97.05147426286857,97.0014992503748
38,96.81059862610402,96.95780176643768
39,95.90827338129496,96.31294964028777
40,95.61573178594455,96.06705351386202
41,94.80593607305936,94.92009132420091
42,95.47540983606557,95.54098360655738
43,94.700944386149,94.75341028331584
44,94.91059147180194,95.04814305364512
45,96.07415485278081,96.23773173391494
46,95.60197910940077,95.49202858713579
47,94.60292983808789,94.52582883577486
48,95.72564612326043,95.82504970178927
49,95.47991071428571,95.42410714285714
50,96.57335907335907,96.42857142857143
51,94.94839760999457,95.05703422053232
52,96.84747334260547,96.94019471488178
53,96.51515151515152,96.56565656565657
54,96.4693665628245,96.57320872274143
55,95.63679245283019,96.0495283018868
56,95.46338302009073,95.52819183408944
57,97.13453132588636,97.03739679456046
58,96.12492770387507,95.95141700404858
59,96.46374216651745,96.50850492390332
60,95.30944625407166,95.17915309446255
61,96.00296076980015,95.92894152479646
62,96.7741935483871,96.7741935483871
63,95.58665231431647,95.58665231431647
64,96.35327635327636,96.35327635327636
65,95.73210768220616,95.8634274458306
66,95.88268471517203,95.88268471517203
67,96.60512209648601,96.66468135795117
68,96.85929648241206,96.73366834170855
69,95.84934665641815,95.92621060722522
70,96.79197994987469,96.79197994987469
71,95.68717653824037,95.68717653824037
72,96.21993127147766,96.21993127147766
73,96.35974304068522,96.35974304068522
74,96.09030837004406,96.09030837004406
75,95.34883720930233,95.2906976744186
76,96.91745036572624,96.96969696969697
77,95.49330085261876,95.61510353227771
78,96.70804101457097,96.7620075553157
79,95.32563025210085,95.37815126050421
80,94.87516425755584,94.87516425755584
81,96.4841108857336,96.41649763353617
82,96.94251936404403,96.8609865470852
83,95.7889865802869,95.83526145303101
84,97.08029197080292,97.19258843346435
85,96.91489361702128,96.96808510638299
86,96.97303247110622,96.97303247110622
87,95.13581806696146,95.0726468730259
88,96.09279609279609,96.09279609279609
89,97.54641909814323,97.54641909814323
90,96.9198088157196,96.97291556027615
91,96.34683098591549,96.39084507042254
92,96.24796084828712,96.19358346927677
93,96.33821571238349,96.20505992010652
94,96.42629227823866,96.42629227823866
95,95.07860560492139,95.14695830485304
96,95.85319351763584,95.7578646329838
97,96.62775616083009,96.69260700389106
98,97.61306532663316,97.61306532663316
99,94.83101391650099,94.9635520212061
100,97.20087815587267,97.14599341383095
101,96.23352165725048,96.23352165725048
102,96.41768292682927,96.41768292682927
103,95.99282296650718,95.99282296650718
104,95.92391304347827,95.85597826086956
105,97.0909090909091,97.0909090909091
106,96.9488188976378,96.9488188976378
107,96.24703087885986,96.29453681710214
108,95.27272727272728,95.15151515151516
109,96.55352480417754,96.55352480417754
110,96.9416126042632,96.9416126042632
111,95.77810505645557,95.87628865979381
112,95.59955995599559,95.59955995599559
113,96.4800923254472,96.42238892094633
114,96.75433687744824,96.75433687744824
115,95.70149253731344,95.82089552238806
116,95.00713266761768,95.00713266761768
117,97.05882352941177,97.11649365628604
118,96.08585858585859,96.21212121212122
119,94.37412095639944,94.37412095639944
120,96.86788154897495,96.86788154897495
121,96.30057803468208,96.18497109826589
122,95.6470588235294,95.58823529411765
