epoch,accuracy_test_before,accuracy_test_after
0,16.29374641422834,77.56741250717154
1,70.51442910915935,84.19071518193223
2,64.24322538003966,79.9074686054197
3,80.21857923497268,86.66666666666667
4,73.43663530713891,81.68234643054787
5,69.92405063291139,78.83544303797468
6,77.13118938233792,84.83920367534456
7,78.7052810902896,86.03066439522998
8,81.57894736842105,90.42105263157895
9,75.29021558872306,82.75290215588723
10,86.88901667625072,89.82173663024727
11,84.41780821917808,91.69520547945206
12,73.03834808259587,85.54572271386431
13,79.76190476190477,87.74801587301587
14,85.65776458951532,89.0702274975272
15,85.03532434168272,88.31085420680796
16,83.7150127226463,89.01611535199322
17,85.16320474777447,90.10880316518298
18,86.40399556048834,91.56492785793563
19,82.53339930727363,89.75754576942107
20,81.4375,88.0625
21,86.73854447439354,90.5121293800539
22,87.24973656480506,88.77766069546892
23,83.28513591671486,89.93637941006362
24,85.08923431203223,91.82498560736903
25,87.01384311140409,89.91430454845089
26,90.07352941176471,91.91176470588235
27,85.5440414507772,87.35751295336787
28,86.08445297504798,89.58733205374281
29,85.98484848484848,90.42207792207793
30,87.12418300653594,89.08496732026144
31,85.18738845925044,91.6716240333135
32,82.63810597519729,88.6696730552424
33,89.1425046267736,90.86983343615053
34,88.91650099403579,92.59443339960238
35,87.9746835443038,89.18776371308017
36,86.92152917505031,91.28101945003353
37,85.0720461095101,90.835734870317
38,85.9073359073359,90.15444015444015
39,86.28571428571429,90.61904761904762
40,88.52163461538461,92.8485576923077
41,87.1854885898186,91.63253364540667
42,89.77932636469221,92.27642276422763
43,88.2793017456359,91.87032418952619
44,88.65419432709717,91.49064574532288
45,87.62437810945273,90.73383084577115
46,90.1364113326338,92.8121720881427
47,87.06962509563887,91.58377964804897
48,90.30812324929973,92.49299719887955
49,83.66412213740459,89.00763358778626
50,85.14851485148515,91.0891089108911
51,85.06205673758865,89.31737588652481
52,85.93063019052272,89.78993649242794
53,88.64942528735632,92.91187739463601
54,87.94594594594595,91.8918918918919
55,91.72625127681307,95.60776302349336
56,88.0794701986755,90.06622516556291
57,90.29850746268657,93.65671641791045
58,85.76094056172437,91.90071848465055
59,88.16884661117716,93.04399524375742
60,86.92307692307692,90.76923076923077
61,90.03961516694963,93.32201471420487
62,90.9090909090909,93.25328759291024
63,87.95180722891565,92.10174029451139
64,88.84408602150538,92.00268817204301
65,90.31589849818747,93.31952356292076
66,90.76664801343033,93.34079462786794
67,91.45972138098122,93.3373712901272
68,89.42598187311178,92.5226586102719
69,91.32841328413284,93.17343173431735
70,86.7147270854789,92.27600411946447
71,87.14768883878241,90.58624577226607
72,86.83255572835667,91.5500259201659
73,89.1497461928934,91.11675126903553
74,86.96916812100058,91.39034322280396
75,88.06161745827985,91.33504492939666
76,88.3460859329017,90.46497939964685
77,89.98211091234347,92.66547406082289
78,91.41295862607338,94.30132708821233
79,89.93435448577681,94.03719912472648
80,88.35925740090316,91.52032112393377
81,92.13657527159856,95.29229177444387
82,83.97920604914934,90.31190926275993
83,88.84165781083954,92.18916046758767
84,86.43634037108126,90.72296865003199
85,88.16148390616476,91.87124931805782
86,91.11111111111111,93.33333333333333
87,87.93903247183566,93.37309476474486
88,90.23255813953487,93.421926910299
89,91.63346613545816,94.02390438247012
90,89.3649974186887,93.44346928239545
91,88.14187400741133,91.5299100052938
92,90.24230517354289,92.33791748526524
93,90.94801223241589,93.33333333333333
94,89.5895895895896,93.1931931931932
95,87.49361919346606,92.75140377743747
96,91.0735826296743,94.08926417370326
97,89.44927536231884,92.0
98,90.85545722713864,94.51327433628319
99,86.2255232950709,91.62727886563134
100,90.36860879904876,91.97384066587396
101,89.91373589913736,93.82879893828799
102,91.67643610785463,94.07971864009379
103,88.03131991051454,92.89709172259508
104,86.87436159346271,92.13483146067416
105,87.71645021645021,92.91125541125541
106,90.38344491783323,94.15702982349362
107,90.02652519893898,93.63395225464191
108,89.46459412780656,93.20667818077143
109,89.60964408725603,92.53731343283582
110,90.34028540065862,92.4807903402854
111,92.04728640515852,95.00268672756582
112,90.55269922879178,93.05912596401028
113,91.28902316213494,93.45417925478348
114,90.84639498432601,91.91222570532915
115,91.95402298850574,93.77958079783637
116,90.73724007561437,93.50976685570258
117,89.3069306930693,93.79537953795379
118,88.11556139198949,92.12081418253447
119,91.28491620111731,93.29608938547486
120,92.0666013712047,95.05386875612145
121,87.4248496993988,89.82965931863728
122,90.92465753424658,94.80593607305936
123,89.0,93.16666666666666
124,88.94557823129252,92.06349206349206
125,90.26494146642021,93.96179913739988
126,87.45294855708909,91.34253450439147
127,89.27536231884058,91.73913043478261
128,91.29052765416402,93.76986649713922
129,89.94197292069632,94.48742746615088
130,90.80612924716856,93.53764157228514
131,89.42428035043804,92.92866082603254
132,90.78540507111936,92.26963512677798
133,89.05499199145756,91.35077415910304
134,88.6547811993517,92.70664505672609
135,89.87935656836461,94.57104557640751
136,90.21386908619571,93.64873622812702
137,90.6601466992665,93.64303178484109
138,89.15441176470588,90.90073529411765
139,89.62371721778791,93.10148232611174
140,89.58797327394208,93.20712694877506
141,91.05960264900662,93.59823399558499
142,85.70669500531349,91.65781083953242
143,87.46081504702194,92.00626959247649
144,88.80057803468208,93.5693641618497
145,90.61743341404357,93.64406779661016
146,87.73968622893666,91.22603137710634
147,90.82503556187767,92.31863442389758
148,89.44636678200692,92.7912341407151
